"","X","yearID","lgID","teamID","franchID","Rank","G","R","AB","H","HR"
"1580",1580,1971,"NL","CHN","CHC",3,162,637,5438,1401,128
"1581",1581,1971,"NL","NYN","NYM",3,162,588,5477,1365,98
"1582",1582,1971,"NL","MON","WSN",5,162,622,5335,1312,88
"1583",1583,1971,"NL","PHI","PHI",6,162,558,5538,1289,123
"1584",1584,1971,"NL","SFN","SFG",1,162,706,5461,1348,140
"1585",1585,1971,"NL","LAN","LAD",2,162,663,5523,1469,95
"1586",1586,1971,"NL","ATL","ATL",3,162,643,5575,1434,153
"1587",1587,1971,"NL","CIN","CIN",4,162,586,5414,1306,138
"1588",1588,1971,"NL","HOU","HOU",4,162,585,5492,1319,71
"1589",1589,1971,"NL","SDN","SDP",6,161,486,5366,1250,96
"1590",1590,1972,"AL","DET","DET",1,156,558,5099,1206,122
"1591",1591,1972,"AL","BOS","BOS",2,155,640,5208,1289,124
"1592",1592,1972,"AL","BAL","BAL",3,154,519,5028,1153,100
"1593",1593,1972,"AL","NYA","NYY",4,155,557,5168,1288,103
"1594",1594,1972,"AL","CLE","CLE",5,156,472,5207,1220,91
"1595",1595,1972,"AL","ML4","MIL",6,156,493,5124,1204,88
"1596",1596,1972,"AL","OAK","OAK",1,155,604,5200,1248,134
"1597",1597,1972,"AL","CHA","CHW",2,154,566,5083,1208,108
"1598",1598,1972,"AL","MIN","MIN",3,154,537,5234,1277,93
"1599",1599,1972,"AL","KCA","KCR",4,154,580,5167,1317,78
"1600",1600,1972,"AL","CAL","ANA",5,155,454,5165,1249,78
"1601",1601,1972,"AL","TEX","TEX",6,154,461,5029,1092,56
"1602",1602,1972,"NL","PIT","PIT",1,155,691,5490,1505,110
"1603",1603,1972,"NL","CHN","CHC",2,156,685,5247,1346,133
"1604",1604,1972,"NL","NYN","NYM",3,156,528,5135,1154,105
"1605",1605,1972,"NL","SLN","STL",4,156,568,5326,1383,70
"1606",1606,1972,"NL","MON","WSN",5,156,513,5156,1205,91
"1607",1607,1972,"NL","PHI","PHI",6,156,503,5248,1240,98
"1608",1608,1972,"NL","CIN","CIN",1,154,707,5241,1317,124
"1609",1609,1972,"NL","LAN","LAD",2,155,584,5270,1349,98
"1610",1610,1972,"NL","HOU","HOU",3,153,708,5267,1359,134
"1611",1611,1972,"NL","ATL","ATL",4,155,628,5278,1363,144
"1612",1612,1972,"NL","SFN","SFG",5,155,662,5245,1281,150
"1613",1613,1972,"NL","SDN","SDP",6,153,488,5213,1181,102
"1614",1614,1973,"AL","BAL","BAL",1,162,754,5537,1474,119
"1615",1615,1973,"AL","BOS","BOS",2,162,738,5513,1472,147
"1616",1616,1973,"AL","DET","DET",3,162,642,5508,1400,157
"1617",1617,1973,"AL","NYA","NYY",4,162,641,5492,1435,131
"1618",1618,1973,"AL","ML4","MIL",5,162,708,5526,1399,145
"1619",1619,1973,"AL","CLE","CLE",6,162,680,5592,1429,158
"1620",1620,1973,"AL","OAK","OAK",1,162,758,5507,1431,147
"1621",1621,1973,"AL","KCA","KCR",2,162,755,5508,1440,114
"1622",1622,1973,"AL","MIN","MIN",3,162,738,5625,1521,120
"1623",1623,1973,"AL","CAL","ANA",4,162,629,5505,1395,93
"1624",1624,1973,"AL","CHA","CHW",5,162,652,5475,1400,111
"1625",1625,1973,"AL","TEX","TEX",6,162,619,5488,1397,110
"1626",1626,1973,"NL","NYN","NYM",1,161,608,5457,1345,85
"1627",1627,1973,"NL","SLN","STL",2,162,643,5478,1418,75
"1628",1628,1973,"NL","PIT","PIT",3,162,704,5608,1465,154
"1629",1629,1973,"NL","MON","WSN",4,162,668,5369,1345,125
"1630",1630,1973,"NL","CHN","CHC",5,161,614,5363,1322,117
"1631",1631,1973,"NL","PHI","PHI",6,162,642,5546,1381,134
"1632",1632,1973,"NL","CIN","CIN",1,162,741,5505,1398,137
"1633",1633,1973,"NL","LAN","LAD",2,162,675,5604,1473,110
"1634",1634,1973,"NL","SFN","SFG",3,162,739,5537,1452,161
"1635",1635,1973,"NL","HOU","HOU",4,162,681,5532,1391,134
"1636",1636,1973,"NL","ATL","ATL",5,162,799,5631,1497,206
"1637",1637,1973,"NL","SDN","SDP",6,162,548,5457,1330,112
"1638",1638,1974,"AL","BAL","BAL",1,162,659,5535,1418,116
"1639",1639,1974,"AL","NYA","NYY",2,162,671,5524,1451,101
"1640",1640,1974,"AL","BOS","BOS",3,162,696,5499,1449,109
"1641",1641,1974,"AL","CLE","CLE",4,162,662,5474,1395,131
"1642",1642,1974,"AL","ML4","MIL",5,162,647,5472,1335,120
"1643",1643,1974,"AL","DET","DET",6,162,620,5568,1375,131
"1644",1644,1974,"AL","OAK","OAK",1,162,689,5331,1315,132
"1645",1645,1974,"AL","TEX","TEX",2,161,690,5449,1482,99
"1646",1646,1974,"AL","MIN","MIN",3,163,673,5632,1530,111
"1647",1647,1974,"AL","CHA","CHW",4,163,684,5577,1492,135
"1648",1648,1974,"AL","KCA","KCR",5,162,667,5582,1448,89
"1649",1649,1974,"AL","CAL","ANA",6,163,618,5401,1372,95
"1650",1650,1974,"NL","PIT","PIT",1,162,751,5702,1560,114
"1651",1651,1974,"NL","SLN","STL",2,161,677,5620,1492,83
"1652",1652,1974,"NL","PHI","PHI",3,162,676,5494,1434,95
"1653",1653,1974,"NL","MON","WSN",4,161,662,5343,1355,86
"1654",1654,1974,"NL","NYN","NYM",5,162,572,5468,1286,96
"1655",1655,1974,"NL","CHN","CHC",6,162,669,5574,1397,110
"1656",1656,1974,"NL","LAN","LAD",1,162,798,5557,1511,139
"1657",1657,1974,"NL","CIN","CIN",2,163,776,5535,1437,135
"1658",1658,1974,"NL","ATL","ATL",3,163,661,5533,1375,120
"1659",1659,1974,"NL","HOU","HOU",4,162,653,5489,1441,110
"1660",1660,1974,"NL","SFN","SFG",5,162,634,5482,1380,93
"1661",1661,1974,"NL","SDN","SDP",6,162,541,5415,1239,99
"1662",1662,1975,"AL","BOS","BOS",1,160,796,5448,1500,134
"1663",1663,1975,"AL","BAL","BAL",2,159,682,5474,1382,124
"1664",1664,1975,"AL","NYA","NYY",3,160,681,5415,1430,110
"1665",1665,1975,"AL","CLE","CLE",4,159,688,5404,1409,153
"1666",1666,1975,"AL","ML4","MIL",5,162,675,5378,1343,146
"1667",1667,1975,"AL","DET","DET",6,159,570,5366,1338,125
"1668",1668,1975,"AL","OAK","OAK",1,162,758,5415,1376,151
"1669",1669,1975,"AL","KCA","KCR",2,162,710,5491,1431,118
"1670",1670,1975,"AL","TEX","TEX",3,162,714,5599,1431,134
"1671",1671,1975,"AL","MIN","MIN",4,159,724,5514,1497,121
"1672",1672,1975,"AL","CHA","CHW",5,161,655,5490,1400,94
"1673",1673,1975,"AL","CAL","ANA",6,161,628,5377,1324,55
"1674",1674,1975,"NL","PIT","PIT",1,161,712,5489,1444,138
"1675",1675,1975,"NL","PHI","PHI",2,162,735,5592,1506,125
"1676",1676,1975,"NL","NYN","NYM",3,162,646,5587,1430,101
"1677",1677,1975,"NL","SLN","STL",3,163,662,5597,1527,81
"1678",1678,1975,"NL","CHN","CHC",5,162,712,5470,1419,95
"1679",1679,1975,"NL","MON","WSN",5,162,601,5518,1346,98
"1680",1680,1975,"NL","CIN","CIN",1,162,840,5581,1515,124
"1681",1681,1975,"NL","LAN","LAD",2,162,648,5453,1355,118
"1682",1682,1975,"NL","SFN","SFG",3,161,659,5447,1412,84
"1683",1683,1975,"NL","SDN","SDP",4,162,552,5429,1324,78
"1684",1684,1975,"NL","ATL","ATL",5,161,583,5424,1323,107
"1685",1685,1975,"NL","HOU","HOU",6,162,664,5515,1401,84
"1686",1686,1976,"AL","NYA","NYY",1,159,730,5555,1496,120
"1687",1687,1976,"AL","BAL","BAL",2,162,619,5457,1326,119
"1688",1688,1976,"AL","BOS","BOS",3,162,716,5511,1448,134
"1689",1689,1976,"AL","CLE","CLE",4,159,615,5412,1423,85
"1690",1690,1976,"AL","DET","DET",5,161,609,5441,1401,101
"1691",1691,1976,"AL","ML4","MIL",6,161,570,5396,1326,88
"1692",1692,1976,"AL","KCA","KCR",1,162,713,5540,1490,65
"1693",1693,1976,"AL","OAK","OAK",2,161,686,5353,1319,113
"1694",1694,1976,"AL","MIN","MIN",3,162,743,5574,1526,81
"1695",1695,1976,"AL","CAL","ANA",4,162,550,5385,1265,63
"1696",1696,1976,"AL","TEX","TEX",4,162,616,5555,1390,80
"1697",1697,1976,"AL","CHA","CHW",6,161,586,5532,1410,73
"1698",1698,1976,"NL","PHI","PHI",1,162,770,5528,1505,110
"1699",1699,1976,"NL","PIT","PIT",2,162,708,5604,1499,110
"1700",1700,1976,"NL","NYN","NYM",3,162,615,5415,1334,102
"1701",1701,1976,"NL","CHN","CHC",4,162,611,5519,1386,105
"1702",1702,1976,"NL","SLN","STL",5,162,629,5516,1432,63
"1703",1703,1976,"NL","MON","WSN",6,162,531,5428,1275,94
"1704",1704,1976,"NL","CIN","CIN",1,162,857,5702,1599,141
"1705",1705,1976,"NL","LAN","LAD",2,162,608,5472,1371,91
"1706",1706,1976,"NL","HOU","HOU",3,162,625,5464,1401,66
"1707",1707,1976,"NL","SFN","SFG",4,162,595,5452,1340,85
"1708",1708,1976,"NL","SDN","SDP",5,162,570,5369,1327,64
"1709",1709,1976,"NL","ATL","ATL",6,162,620,5345,1309,82
"1710",1710,1977,"AL","NYA","NYY",1,162,831,5605,1576,184
"1711",1711,1977,"AL","BAL","BAL",2,161,719,5494,1433,148
"1712",1712,1977,"AL","BOS","BOS",2,161,859,5510,1551,213
"1713",1713,1977,"AL","DET","DET",4,162,714,5604,1480,166
"1714",1714,1977,"AL","CLE","CLE",5,161,676,5491,1476,100
"1715",1715,1977,"AL","ML4","MIL",6,162,639,5517,1425,125
"1716",1716,1977,"AL","TOR","TOR",7,161,605,5418,1367,100
"1717",1717,1977,"AL","KCA","KCR",1,162,822,5594,1549,146
"1718",1718,1977,"AL","TEX","TEX",2,162,767,5541,1497,135
"1719",1719,1977,"AL","CHA","CHW",3,162,844,5633,1568,192
"1720",1720,1977,"AL","MIN","MIN",4,161,867,5639,1588,123
"1721",1721,1977,"AL","CAL","ANA",5,162,675,5410,1380,131
"1722",1722,1977,"AL","SEA","SEA",6,162,624,5460,1398,133
"1723",1723,1977,"AL","OAK","OAK",7,161,605,5358,1284,117
"1724",1724,1977,"NL","PHI","PHI",1,162,847,5546,1548,186
"1725",1725,1977,"NL","PIT","PIT",2,162,734,5662,1550,133
"1726",1726,1977,"NL","SLN","STL",3,162,737,5527,1490,96
"1727",1727,1977,"NL","CHN","CHC",4,162,692,5604,1489,111
"1728",1728,1977,"NL","MON","WSN",5,162,665,5675,1474,138
"1729",1729,1977,"NL","NYN","NYM",6,162,587,5410,1319,88
"1730",1730,1977,"NL","LAN","LAD",1,162,769,5589,1484,191
"1731",1731,1977,"NL","CIN","CIN",2,162,802,5524,1513,181
"1732",1732,1977,"NL","HOU","HOU",3,162,680,5530,1405,114
"1733",1733,1977,"NL","SFN","SFG",4,162,673,5497,1392,134
"1734",1734,1977,"NL","SDN","SDP",5,162,692,5602,1397,120
"1735",1735,1977,"NL","ATL","ATL",6,162,678,5534,1404,139
"1736",1736,1978,"AL","NYA","NYY",1,163,735,5583,1489,125
"1737",1737,1978,"AL","BOS","BOS",2,163,796,5587,1493,172
"1738",1738,1978,"AL","ML4","MIL",3,162,804,5536,1530,173
"1739",1739,1978,"AL","BAL","BAL",4,161,659,5422,1397,154
"1740",1740,1978,"AL","DET","DET",5,162,714,5601,1520,129
"1741",1741,1978,"AL","CLE","CLE",6,159,639,5365,1400,106
"1742",1742,1978,"AL","TOR","TOR",7,161,590,5430,1358,98
"1743",1743,1978,"AL","KCA","KCR",1,162,743,5474,1469,98
"1744",1744,1978,"AL","CAL","ANA",2,162,691,5472,1417,108
"1745",1745,1978,"AL","TEX","TEX",2,162,692,5347,1353,132
"1746",1746,1978,"AL","MIN","MIN",4,162,666,5522,1472,82
"1747",1747,1978,"AL","CHA","CHW",5,161,634,5393,1423,106
"1748",1748,1978,"AL","OAK","OAK",6,162,532,5321,1304,100
"1749",1749,1978,"AL","SEA","SEA",7,160,614,5358,1327,97
"1750",1750,1978,"NL","PHI","PHI",1,162,708,5448,1404,133
"1751",1751,1978,"NL","PIT","PIT",2,161,684,5406,1390,115
"1752",1752,1978,"NL","CHN","CHC",3,162,664,5532,1461,72
"1753",1753,1978,"NL","MON","WSN",4,162,633,5530,1404,121
"1754",1754,1978,"NL","SLN","STL",5,162,600,5415,1351,79
"1755",1755,1978,"NL","NYN","NYM",6,162,607,5433,1332,86
"1756",1756,1978,"NL","LAN","LAD",1,162,727,5437,1435,149
"1757",1757,1978,"NL","CIN","CIN",2,161,710,5392,1378,136
"1758",1758,1978,"NL","SFN","SFG",3,162,613,5364,1331,117
"1759",1759,1978,"NL","SDN","SDP",4,162,591,5360,1349,75
"1760",1760,1978,"NL","HOU","HOU",5,162,605,5458,1408,70
"1761",1761,1978,"NL","ATL","ATL",6,162,600,5381,1313,123
"1762",1762,1979,"AL","BAL","BAL",1,159,757,5371,1401,181
"1763",1763,1979,"AL","ML4","MIL",2,161,807,5536,1552,185
"1764",1764,1979,"AL","BOS","BOS",3,160,841,5538,1567,194
"1765",1765,1979,"AL","NYA","NYY",4,160,734,5421,1443,150
"1766",1766,1979,"AL","DET","DET",5,161,770,5375,1446,164
"1767",1767,1979,"AL","CLE","CLE",6,161,760,5376,1388,138
"1768",1768,1979,"AL","TOR","TOR",7,162,613,5423,1362,95
"1769",1769,1979,"AL","CAL","ANA",1,162,866,5550,1563,164
"1770",1770,1979,"AL","KCA","KCR",2,162,851,5653,1596,116
"1771",1771,1979,"AL","TEX","TEX",3,162,750,5562,1549,140
"1772",1772,1979,"AL","MIN","MIN",4,162,764,5544,1544,112
"1773",1773,1979,"AL","CHA","CHW",5,160,730,5463,1505,127
"1774",1774,1979,"AL","SEA","SEA",6,162,711,5544,1490,132
"1775",1775,1979,"AL","OAK","OAK",7,162,573,5348,1276,108
"1776",1776,1979,"NL","PIT","PIT",1,163,775,5661,1541,148
"1777",1777,1979,"NL","MON","WSN",2,160,701,5465,1445,143
"1778",1778,1979,"NL","SLN","STL",3,163,731,5734,1594,100
"1779",1779,1979,"NL","PHI","PHI",4,163,683,5463,1453,119
"1780",1780,1979,"NL","CHN","CHC",5,162,706,5550,1494,135
"1781",1781,1979,"NL","NYN","NYM",6,163,593,5591,1399,74
"1782",1782,1979,"NL","CIN","CIN",1,161,731,5477,1445,132
"1783",1783,1979,"NL","HOU","HOU",2,162,583,5394,1382,49
"1784",1784,1979,"NL","LAN","LAD",3,162,739,5490,1443,183
"1785",1785,1979,"NL","SFN","SFG",4,162,672,5395,1328,125
"1786",1786,1979,"NL","SDN","SDP",5,161,603,5446,1316,93
"1787",1787,1979,"NL","ATL","ATL",6,160,669,5422,1389,126
"1788",1788,1980,"AL","NYA","NYY",1,162,820,5553,1484,189
"1789",1789,1980,"AL","BAL","BAL",2,162,805,5585,1523,156
"1790",1790,1980,"AL","ML4","MIL",3,162,811,5653,1555,203
"1791",1791,1980,"AL","DET","DET",4,163,830,5648,1543,143
"1792",1792,1980,"AL","BOS","BOS",5,160,757,5603,1588,162
"1793",1793,1980,"AL","CLE","CLE",6,160,738,5470,1517,89
"1794",1794,1980,"AL","TOR","TOR",7,162,624,5571,1398,126
"1795",1795,1980,"AL","KCA","KCR",1,162,809,5714,1633,115
"1796",1796,1980,"AL","OAK","OAK",2,162,686,5495,1424,137
"1797",1797,1980,"AL","MIN","MIN",3,161,670,5530,1468,99
"1798",1798,1980,"AL","TEX","TEX",4,163,756,5690,1616,124
"1799",1799,1980,"AL","CHA","CHW",5,162,587,5444,1408,91
"1800",1800,1980,"AL","CAL","ANA",6,160,698,5443,1442,106
"1801",1801,1980,"AL","SEA","SEA",7,163,610,5489,1359,104
"1802",1802,1980,"NL","PHI","PHI",1,162,728,5625,1517,117
"1803",1803,1980,"NL","MON","WSN",2,162,694,5465,1407,114
"1804",1804,1980,"NL","PIT","PIT",3,162,666,5517,1469,116
"1805",1805,1980,"NL","SLN","STL",4,162,738,5608,1541,101
"1806",1806,1980,"NL","NYN","NYM",5,162,611,5478,1407,61
"1807",1807,1980,"NL","CHN","CHC",6,162,614,5619,1411,107
"1808",1808,1980,"NL","HOU","HOU",1,163,637,5566,1455,75
"1809",1809,1980,"NL","LAN","LAD",2,163,663,5568,1462,148
"1810",1810,1980,"NL","CIN","CIN",3,163,707,5516,1445,113
"1811",1811,1980,"NL","ATL","ATL",4,161,630,5402,1352,144
"1812",1812,1980,"NL","SFN","SFG",5,161,573,5368,1310,80
"1813",1813,1980,"NL","SDN","SDP",6,163,591,5540,1410,67
"1814",1814,1981,"AL","ML4","MIL",1,109,493,3743,961,96
"1815",1815,1981,"AL","BAL","BAL",2,105,429,3516,883,88
"1816",1816,1981,"AL","DET","DET",3,109,427,3600,922,65
"1817",1817,1981,"AL","NYA","NYY",4,107,421,3529,889,100
"1818",1818,1981,"AL","BOS","BOS",5,108,519,3820,1052,90
"1819",1819,1981,"AL","CLE","CLE",6,103,431,3507,922,39
"1820",1820,1981,"AL","TOR","TOR",7,106,329,3521,797,61
"1821",1821,1981,"AL","OAK","OAK",1,109,458,3677,910,104
"1822",1822,1981,"AL","TEX","TEX",2,105,452,3581,968,49
"1823",1823,1981,"AL","CHA","CHW",3,106,476,3615,982,76
"1824",1824,1981,"AL","KCA","KCR",4,103,397,3560,952,61
"1825",1825,1981,"AL","CAL","ANA",5,110,476,3688,944,97
"1826",1826,1981,"AL","SEA","SEA",6,110,426,3780,950,89
"1827",1827,1981,"AL","MIN","MIN",7,110,378,3676,884,47
"1828",1828,1981,"NL","SLN","STL",1,103,464,3537,936,50
"1829",1829,1981,"NL","MON","WSN",2,108,443,3591,883,81
"1830",1830,1981,"NL","PHI","PHI",3,107,491,3665,1002,69
"1831",1831,1981,"NL","PIT","PIT",4,103,407,3576,920,55
"1832",1832,1981,"NL","NYN","NYM",5,105,348,3493,868,57
"1833",1833,1981,"NL","CHN","CHC",6,106,370,3546,838,57
"1834",1834,1981,"NL","CIN","CIN",1,108,464,3637,972,64
"1835",1835,1981,"NL","LAN","LAD",2,110,450,3751,984,82
"1836",1836,1981,"NL","HOU","HOU",3,110,394,3693,948,45
"1837",1837,1981,"NL","SFN","SFG",4,111,427,3766,941,63
"1838",1838,1981,"NL","ATL","ATL",5,107,395,3642,886,64
"1839",1839,1981,"NL","SDN","SDP",6,110,382,3757,963,32
"1840",1840,1982,"AL","ML4","MIL",1,163,891,5733,1599,216
"1841",1841,1982,"AL","BAL","BAL",2,163,774,5557,1478,179
"1842",1842,1982,"AL","BOS","BOS",3,162,753,5596,1536,136
"1843",1843,1982,"AL","DET","DET",4,162,729,5590,1489,177
"1844",1844,1982,"AL","NYA","NYY",5,162,709,5526,1417,161
"1845",1845,1982,"AL","CLE","CLE",6,162,683,5559,1458,109
"1846",1846,1982,"AL","TOR","TOR",6,162,651,5526,1447,106
"1847",1847,1982,"AL","CAL","ANA",1,162,814,5532,1518,186
"1848",1848,1982,"AL","KCA","KCR",2,162,784,5629,1603,132
"1849",1849,1982,"AL","CHA","CHW",3,162,786,5575,1523,136
"1850",1850,1982,"AL","SEA","SEA",4,162,651,5626,1431,130
"1851",1851,1982,"AL","OAK","OAK",5,162,691,5448,1286,149
"1852",1852,1982,"AL","TEX","TEX",6,162,590,5445,1354,115
"1853",1853,1982,"AL","MIN","MIN",7,162,657,5544,1427,148
"1854",1854,1982,"NL","SLN","STL",1,162,685,5455,1439,67
"1855",1855,1982,"NL","PHI","PHI",2,162,664,5454,1417,112
"1856",1856,1982,"NL","MON","WSN",3,162,697,5557,1454,133
"1857",1857,1982,"NL","PIT","PIT",4,162,724,5614,1535,134
"1858",1858,1982,"NL","CHN","CHC",5,162,676,5531,1436,102
"1859",1859,1982,"NL","NYN","NYM",6,162,609,5510,1361,97
"1860",1860,1982,"NL","ATL","ATL",1,162,739,5507,1411,146
"1861",1861,1982,"NL","LAN","LAD",2,162,691,5642,1487,138
"1862",1862,1982,"NL","SFN","SFG",3,162,673,5499,1393,133
"1863",1863,1982,"NL","SDN","SDP",4,162,675,5575,1435,81
"1864",1864,1982,"NL","HOU","HOU",5,162,569,5440,1342,74
"1865",1865,1982,"NL","CIN","CIN",6,162,545,5479,1375,82
"1866",1866,1983,"AL","BAL","BAL",1,162,799,5546,1492,168
"1867",1867,1983,"AL","DET","DET",2,162,789,5592,1530,156
"1868",1868,1983,"AL","NYA","NYY",3,162,770,5631,1535,153
"1869",1869,1983,"AL","TOR","TOR",4,162,795,5581,1546,167
"1870",1870,1983,"AL","ML4","MIL",5,162,764,5620,1556,132
"1871",1871,1983,"AL","BOS","BOS",6,162,724,5590,1512,142
"1872",1872,1983,"AL","CLE","CLE",7,162,704,5476,1451,86
"1873",1873,1983,"AL","CHA","CHW",1,162,800,5484,1439,157
"1874",1874,1983,"AL","KCA","KCR",2,163,696,5598,1515,109
"1875",1875,1983,"AL","TEX","TEX",3,163,639,5610,1429,106
"1876",1876,1983,"AL","OAK","OAK",4,162,708,5516,1447,121
"1877",1877,1983,"AL","CAL","ANA",5,162,722,5640,1467,154
"1878",1878,1983,"AL","MIN","MIN",5,162,709,5601,1463,141
"1879",1879,1983,"AL","SEA","SEA",7,162,558,5336,1280,111
"1880",1880,1983,"NL","PHI","PHI",1,163,696,5426,1352,125
"1881",1881,1983,"NL","PIT","PIT",2,162,659,5531,1460,121
"1882",1882,1983,"NL","MON","WSN",3,163,677,5611,1482,102
"1883",1883,1983,"NL","SLN","STL",4,162,679,5550,1496,83
"1884",1884,1983,"NL","CHN","CHC",5,162,701,5512,1436,140
"1885",1885,1983,"NL","NYN","NYM",6,162,575,5444,1314,112
"1886",1886,1983,"NL","LAN","LAD",1,163,654,5440,1358,146
"1887",1887,1983,"NL","ATL","ATL",2,162,746,5472,1489,130
"1888",1888,1983,"NL","HOU","HOU",3,162,643,5502,1412,97
"1889",1889,1983,"NL","SDN","SDP",4,163,653,5527,1384,93
"1890",1890,1983,"NL","SFN","SFG",5,162,687,5369,1324,142
"1891",1891,1983,"NL","CIN","CIN",6,162,623,5333,1274,107
"1892",1892,1984,"AL","DET","DET",1,162,829,5644,1529,187
"1893",1893,1984,"AL","TOR","TOR",2,163,750,5687,1555,143
"1894",1894,1984,"AL","NYA","NYY",3,162,758,5661,1560,130
"1895",1895,1984,"AL","BOS","BOS",4,162,810,5648,1598,181
"1896",1896,1984,"AL","BAL","BAL",5,162,681,5456,1374,160
"1897",1897,1984,"AL","CLE","CLE",6,163,761,5643,1498,123
"1898",1898,1984,"AL","ML4","MIL",7,161,641,5511,1446,96
"1899",1899,1984,"AL","KCA","KCR",1,162,673,5543,1487,117
"1900",1900,1984,"AL","CAL","ANA",2,162,696,5470,1363,150
"1901",1901,1984,"AL","MIN","MIN",2,162,673,5562,1473,114
"1902",1902,1984,"AL","OAK","OAK",4,162,738,5457,1415,158
"1903",1903,1984,"AL","CHA","CHW",5,162,679,5513,1360,172
"1904",1904,1984,"AL","SEA","SEA",5,162,682,5546,1429,129
"1905",1905,1984,"AL","TEX","TEX",7,161,656,5569,1452,120
"1906",1906,1984,"NL","CHN","CHC",1,161,762,5437,1415,136
"1907",1907,1984,"NL","NYN","NYM",2,162,652,5438,1400,107
"1908",1908,1984,"NL","SLN","STL",3,162,652,5433,1369,75
"1909",1909,1984,"NL","PHI","PHI",4,162,720,5614,1494,147
"1910",1910,1984,"NL","MON","WSN",5,161,593,5439,1367,96
"1911",1911,1984,"NL","PIT","PIT",6,162,615,5537,1412,98
"1912",1912,1984,"NL","SDN","SDP",1,162,686,5504,1425,109
"1913",1913,1984,"NL","ATL","ATL",2,162,632,5422,1338,111
"1914",1914,1984,"NL","HOU","HOU",2,162,693,5548,1465,79
"1915",1915,1984,"NL","LAN","LAD",4,162,580,5399,1316,102
"1916",1916,1984,"NL","CIN","CIN",5,162,627,5498,1342,106
"1917",1917,1984,"NL","SFN","SFG",6,162,682,5650,1499,112
"1918",1918,1985,"AL","TOR","TOR",1,161,759,5508,1482,158
"1919",1919,1985,"AL","NYA","NYY",2,161,839,5458,1458,176
"1920",1920,1985,"AL","DET","DET",3,161,729,5575,1413,202
"1921",1921,1985,"AL","BAL","BAL",4,161,818,5517,1451,214
"1922",1922,1985,"AL","BOS","BOS",5,163,800,5720,1615,162
"1923",1923,1985,"AL","ML4","MIL",6,161,690,5568,1467,101
"1924",1924,1985,"AL","CLE","CLE",7,162,729,5527,1465,116
"1925",1925,1985,"AL","KCA","KCR",1,162,687,5500,1384,154
"1926",1926,1985,"AL","CAL","ANA",2,162,732,5442,1364,153
"1927",1927,1985,"AL","CHA","CHW",3,163,736,5470,1386,146
"1928",1928,1985,"AL","MIN","MIN",4,162,705,5509,1453,141
"1929",1929,1985,"AL","OAK","OAK",4,162,757,5581,1475,155
"1930",1930,1985,"AL","SEA","SEA",6,162,719,5521,1410,171
"1931",1931,1985,"AL","TEX","TEX",7,161,617,5361,1359,129
"1932",1932,1985,"NL","SLN","STL",1,162,747,5467,1446,87
"1933",1933,1985,"NL","NYN","NYM",2,162,695,5549,1425,134
"1934",1934,1985,"NL","MON","WSN",3,161,633,5429,1342,118
"1935",1935,1985,"NL","CHN","CHC",4,162,686,5492,1397,150
"1936",1936,1985,"NL","PHI","PHI",5,162,667,5477,1343,141
"1937",1937,1985,"NL","PIT","PIT",6,161,568,5436,1340,80
"1938",1938,1985,"NL","LAN","LAD",1,162,682,5502,1434,129
"1939",1939,1985,"NL","CIN","CIN",2,162,677,5431,1385,114
"1940",1940,1985,"NL","HOU","HOU",3,162,706,5582,1457,121
"1941",1941,1985,"NL","SDN","SDP",3,162,650,5507,1405,109
"1942",1942,1985,"NL","ATL","ATL",5,162,632,5526,1359,126
"1943",1943,1985,"NL","SFN","SFG",6,162,556,5420,1263,115
"1944",1944,1986,"AL","BOS","BOS",1,161,794,5498,1488,144
"1945",1945,1986,"AL","NYA","NYY",2,162,797,5570,1512,188
"1946",1946,1986,"AL","DET","DET",3,162,798,5512,1447,198
"1947",1947,1986,"AL","TOR","TOR",4,163,809,5716,1540,181
"1948",1948,1986,"AL","CLE","CLE",5,163,831,5702,1620,157
"1949",1949,1986,"AL","ML4","MIL",6,161,667,5461,1393,127
"1950",1950,1986,"AL","BAL","BAL",7,162,708,5524,1425,169
"1951",1951,1986,"AL","CAL","ANA",1,162,786,5433,1387,167
"1952",1952,1986,"AL","TEX","TEX",2,162,771,5529,1479,184
"1953",1953,1986,"AL","KCA","KCR",3,162,654,5561,1403,137
"1954",1954,1986,"AL","OAK","OAK",3,162,731,5435,1370,163
"1955",1955,1986,"AL","CHA","CHW",5,162,644,5406,1335,121
"1956",1956,1986,"AL","MIN","MIN",6,162,741,5531,1446,196
"1957",1957,1986,"AL","SEA","SEA",7,162,718,5498,1392,158
"1958",1958,1986,"NL","NYN","NYM",1,162,783,5558,1462,148
"1959",1959,1986,"NL","PHI","PHI",2,161,739,5483,1386,154
"1960",1960,1986,"NL","SLN","STL",3,161,601,5378,1270,58
"1961",1961,1986,"NL","MON","WSN",4,161,637,5508,1401,110
"1962",1962,1986,"NL","CHN","CHC",5,160,680,5499,1409,155
"1963",1963,1986,"NL","PIT","PIT",6,162,663,5456,1366,111
"1964",1964,1986,"NL","HOU","HOU",1,162,654,5441,1388,125
"1965",1965,1986,"NL","CIN","CIN",2,162,732,5536,1404,144
"1966",1966,1986,"NL","SFN","SFG",3,162,698,5501,1394,114
"1967",1967,1986,"NL","SDN","SDP",4,162,656,5515,1442,136
"1968",1968,1986,"NL","LAN","LAD",5,162,638,5471,1373,130
"1969",1969,1986,"NL","ATL","ATL",6,161,615,5384,1348,138
